transactionNumber,amount,description,category,date
1,120,Lunch at restaurant,Food & Dining,"2025-05-01, 05:50:20"
2,45,Taxi ride to work,Transportation,"2025-05-02, 05:50:21"
3,220,Electricity bill payment,Bills & Utilities,"2025-05-03, 05:50:22"
4,150,Gym membership fee,Health,"2025-05-04, 05:50:23"
5,60,Shopping for clothes,Shopping,"2025-05-05, 05:50:24"
6,80,Movie ticket and snacks,Entertainment,"2025-05-06, 05:50:25"
7,150,Online course fee,Education,"2025-05-07, 05:50:26"
8,30,Haircut,Personal Care,"2025-05-07, 05:50:27"
9,50,Breakfast at cafe,Food & Dining,"2025-05-08, 05:50:28"
10,200,Car service,Transportation,"2025-05-09, 05:50:29"
11,180,Internet bill payment,Bills & Utilities,"2025-05-10, 05:50:30"
12,90,Yoga class subscription,Health,"2025-05-10, 05:50:31"
13,50,Groceries for the week,Shopping,"2025-05-11, 05:50:32"
14,120,Concert tickets,Entertainment,"2025-05-12, 05:50:33"
15,70,E-learning platform subscription,Education,"2025-05-12, 05:50:34"
16,55,Manicure and pedicure,Personal Care,"2025-05-13, 05:50:35"
17,200,Lunch at a business meeting,Food & Dining,"2025-05-14, 05:50:36"
18,100,Bike repair,Transportation,"2025-05-14, 05:50:37"
19,300,Water bill payment,Bills & Utilities,"2025-05-14, 05:50:38"
20,110,Doctor's consultation,Health,"2025-05-14, 05:50:39"
